corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00120182,NH투자증권,005940,일괄신고추가서류(파생결합증권-주가연계증권),20190102000011,NH투자증권,20190102,
KOSPI,00121932,미원상사,002840,임원ㆍ주요주주특정증권등소유상황보고서,20190102000012,김정돈,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20190102000016,삼성증권,20190102,
KOSPI,00137997,현대차증권,001500,일괄신고추가서류(파생결합증권-주가연계증권),20190102000017,현대차증권,20190102,
KOSPI,00164830,HD한국조선해양,009540,임원ㆍ주요주주특정증권등소유상황보고서,20190102000030,정재준,20190102,
KOSPI,00117601,유안타증권,003470,일괄신고추가서류(기타파생결합사채),20190102000031,유안타증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000032,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000038,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000040,삼성증권,20190102,
KOSPI,00117601,유안타증권,003470,투자설명서(일괄신고),20190102000041,유안타증권,20190102,
KOSPI,00137997,현대차증권,001500,투자설명서(일괄신고),20190102000042,현대차증권,20190102,
KOSPI,00120182,NH투자증권,005940,투자설명서(일괄신고),20190102000047,NH투자증권,20190102,
KOSPI,01205851,HD현대일렉트릭,267260,임원ㆍ주요주주특정증권등소유상황보고서,20190102000048,HD현대,20190102,
KOSPI,00121932,미원상사,002840,임원ㆍ주요주주특정증권등소유상황보고서,20190102000049,미성종합물산,20190102,
KOSPI,01205842,HD건설기계,267270,임원ㆍ주요주주특정증권등소유상황보고서,20190102000052,김광민,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000053,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000059,삼성증권,20190102,
KOSPI,00136721,신영증권,001720,일괄신고추가서류(기타파생결합사채),20190102000061,신영증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000065,삼성증권,20190102,
KOSPI,00128032,삼일제약,000520,주식등의대량보유상황보고서(일반),20190102000067,허승범,20190102,
KOSPI,00128032,삼일제약,000520,임원ㆍ주요주주특정증권등소유상황보고서,20190102000068,허승범,20190102,
KOSPI,00878915,iM금융지주,139130,임원ㆍ주요주주특정증권등소유상황보고서,20190102000073,오성호,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000074,삼성증권,20190102,
KOSPI,00136721,신영증권,001720,투자설명서(일괄신고),20190102000077,신영증권,20190102,
KOSPI,00447609,비에이치,090460,신탁계약에의한취득상황보고서,20190102000081,비에이치,20190102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20190102000088,미래에셋증권,20190102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(기타파생결합증권),20190102000092,미래에셋증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000097,삼성증권,20190102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20190102000098,미래에셋증권,20190102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20190102000100,미래에셋증권,20190102,
KOSPI,00144818,유유제약,000220,주식등의대량보유상황보고서(약식),20190102000106,포커스자산운용,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000111,삼성증권,20190102,
KOSPI,01205842,HD건설기계,267270,임원ㆍ주요주주특정증권등소유상황보고서,20190102000118,김승한,20190102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20190102000119,미래에셋증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(기타파생결합증권),20190102000122,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(기타파생결합사채),20190102000123,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000124,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000125,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000130,삼성증권,20190102,
KOSPI,00372873,KTis,058860,임원ㆍ주요주주특정증권등소유상황보고서,20190102000131,김영기,20190102,
KOSPI,00878915,iM금융지주,139130,임원ㆍ주요주주특정증권등소유상황보고서,20190102000132,이용한,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000135,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000138,삼성증권,20190102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20190102000142,미래에셋증권,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000143,삼성증권,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000144,삼성증권,20190102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20190102000145,미래에셋증권,20190102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20190102000156,미래에셋증권,20190102,
KOSPI,00148610,한화투자증권,003530,임원ㆍ주요주주특정증권등소유상황보고서,20190102000168,장병호,20190102,
KOSPI,00156859,다올투자증권,030210,임원ㆍ주요주주특정증권등소유상황보고서,20190102000171,최석종,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000172,삼성증권,20190102,
KOSPI,00631518,SK이노베이션,096770,임원ㆍ주요주주특정증권등소유상황보고서,20190102000174,이동훈,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000175,삼성증권,20190102,
KOSPI,00105299,금강공업,014280,주식등의대량보유상황보고서(약식),20190102000183,KB자산운용,20190102,
KOSPI,00545716,롯데렌탈,089860,특수관계인과의리스거래,20190102000188,롯데렌탈,20190102,공
KOSPI,00153621,참엔지니어링,009310,임원ㆍ주요주주특정증권등소유상황보고서,20190102000191,김인한,20190102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20190102000192,미래에셋증권,20190102,
KOSPI,01316227,효성티앤씨,298020,주식등의대량보유상황보고서(약식),20190102000195,KB자산운용,20190102,
KOSPI,00120182,NH투자증권,005940,증권발행실적보고서,20190102000197,NH투자증권,20190102,정
KOSPI,00156859,다올투자증권,030210,주식등의대량보유상황보고서(일반),20190102000199,이병철,20190102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20190102000200,미래에셋증권,20190102,
KOSPI,00878915,iM금융지주,139130,임원ㆍ주요주주특정증권등소유상황보고서,20190102000201,도만섭,20190102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20190102000202,삼성증권,20190102,
KOSPI,00153621,참엔지니어링,009310,임원ㆍ주요주주특정증권등소유상황보고서,20190102000203,김규동,20190102,
KOSPI,00248974,하나제약,293480,주식등의대량보유상황보고서(약식),20190102000204,하나제약(주) 우리사주조합,20190102,
KOSPI,00117601,유안타증권,003470,임원ㆍ주요주주특정증권등소유상황보고서,20190102000207,강석범,20190102,
KOSPI,00117601,유안타증권,003470,임원ㆍ주요주주특정증권등소유상황보고서,20190102000209,기승찬,20190102,
KOSPI,00117601,유안타증권,003470,임원ㆍ주요주주특정증권등소유상황보고서,20190102000212,김규형,20190102,
KOSPI,00117601,유안타증권,003470,임원ㆍ주요주주특정증권등소유상황보고서,20190102000213,김종석,20190102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20190102000216,삼성증권,20190102,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합증권-주가연계증권),20190102000219,DB증권,20190102,
