corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00126308,삼성E&A,028050,임원ㆍ주요주주특정증권등소유상황보고서,20250102000016,남궁홍,20250102,
KOSPI,00163691,유수홀딩스,000700,임원ㆍ주요주주특정증권등소유상황보고서,20250102000024,TheMiriStrategicEmergingMarketsFundLP,20250102,
KOSDAQ,01689266,케이쓰리아이,431190,임원ㆍ주요주주특정증권등소유상황보고서,20250102000025,이서보,20250102,
KOSDAQ,00476036,에프엔에스테크,083500,자기주식취득결과보고서,20250102000026,에프엔에스테크,20250102,
KOSPI,00104698,LS네트웍스,000680,계열금융회사를거래상대방으로한단기금융상품거래의분기별공시,20250102000040,LS네트웍스,20250102,공
KOSPI,00117498,스틱인베스트먼트,026890,임원ㆍ주요주주특정증권등소유상황보고서,20250102000042,TheMiriStrategicEmergingMarketsFundLP,20250102,
KOSPI,00113359,교보증권,030610,증권발행실적보고서,20250102000044,교보증권,20250102,
KOSDAQ,00103015,고려제약,014570,자기주식처분결과보고서,20250102000047,고려제약,20250102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20250102000049,미래에셋증권,20250102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20250102000057,미래에셋증권,20250102,
KOSPI,00188089,한섬,020000,합병등종료보고서(합병),20250102000064,한섬,20250102,
KOSDAQ,01686427,에스오에스랩,464080,[기재정정]주요사항보고서(유형자산양수결정),20250102000066,에스오에스랩,20250102,
KOSDAQ,01686427,에스오에스랩,464080,[기재정정]주요사항보고서(유형자산양수결정),20250102000067,에스오에스랩,20250102,
KOSDAQ,00358271,SFA,056190,신탁계약에의한취득상황보고서,20250102000071,SFA,20250102,
KOSPI,00131054,유진증권,001200,일괄신고추가서류(파생결합증권-주가연계증권),20250102000075,유진증권,20250102,
KOSPI,00137997,현대차증권,001500,일괄신고추가서류(기타파생결합사채),20250102000076,현대차증권,20250102,
KOSPI,00172228,엔케이,085310,주식등의대량보유상황보고서(일반),20250102000082,박윤소,20250102,
KOSPI,00172228,엔케이,085310,임원ㆍ주요주주특정증권등소유상황보고서,20250102000083,더세이프티,20250102,
KOSPI,00173078,명신산업,009900,임원ㆍ주요주주특정증권등소유상황보고서,20250102000087,최우철,20250102,
KOSDAQ,01689266,케이쓰리아이,431190,주식등의대량보유상황보고서(일반),20250102000091,이재영,20250102,
KOSPI,00157399,한솔테크닉스,004710,임원ㆍ주요주주특정증권등소유상황보고서,20250102000094,류준영,20250102,
KOSDAQ,00104120,광진실업,026910,[기재정정]주요사항보고서(유형자산양도결정),20250102000097,광진실업,20250102,
KOSPI,00137997,현대차증권,001500,투자설명서(일괄신고),20250102000100,현대차증권,20250102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20250102000105,교보증권,20250102,
KOSPI,00157399,한솔테크닉스,004710,임원ㆍ주요주주특정증권등소유상황보고서,20250102000106,오승욱,20250102,
KOSDAQ,01141942,액트로,290740,임원ㆍ주요주주특정증권등소유상황보고서,20250102000108,하동길,20250102,
KOSPI,00157399,한솔테크닉스,004710,임원ㆍ주요주주특정증권등소유상황보고서,20250102000112,채유신,20250102,
KOSPI,00131054,유진증권,001200,투자설명서(일괄신고),20250102000113,유진증권,20250102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20250102000114,교보증권,20250102,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20250102000115,DB증권,20250102,
KOSDAQ,01315042,시선AI,340810,합병등종료보고서(분할),20250102000118,시선AI,20250102,
KOSPI,00115694,DB증권,016610,임원ㆍ주요주주특정증권등소유상황보고서,20250102000119,곽봉석,20250102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20250102000120,교보증권,20250102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20250102000122,교보증권,20250102,
KOSPI,00115694,DB증권,016610,임원ㆍ주요주주특정증권등소유상황보고서,20250102000123,김영훈,20250102,
KOSPI,00115694,DB증권,016610,임원ㆍ주요주주특정증권등소유상황보고서,20250102000126,김태수,20250102,
KOSDAQ,00552859,HLB테라퓨틱스,115450,합병등종료보고서(분할),20250102000130,HLB테라퓨틱스,20250102,
KOSPI,00120182,NH투자증권,005940,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20250102000131,NH투자증권,20250102,
KOSDAQ,00490090,이지케어텍,099750,임원ㆍ주요주주특정증권등소유상황보고서,20250102000132,홍우선,20250102,
