corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20260102000007,교보증권,20260102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000008,교보증권,20260102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20260102000011,교보증권,20260102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20260102000012,교보증권,20260102,
KOSPI,00152686,코리아써키트,007810,투자설명서,20260102000019,코리아써키트,20260102,
KOSPI,00148610,한화투자증권,003530,일괄신고추가서류(기타파생결합사채),20260102000025,한화투자증권,20260102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000026,삼성증권,20260102,
KOSPI,00148610,한화투자증권,003530,투자설명서(일괄신고),20260102000032,한화투자증권,20260102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20260102000044,삼성증권,20260102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000052,교보증권,20260102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000054,미래에셋증권,20260102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20260102000056,교보증권,20260102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000062,교보증권,20260102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20260102000074,미래에셋증권,20260102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20260102000082,교보증권,20260102,
KOSPI,00225706,JW생명과학,234080,주식등의대량보유상황보고서(약식),20260102000089,FILLIMITED,20260102,
KOSPI,00106623,현대위아,011210,주식등의대량보유상황보고서(약식),20260102000090,국민연금공단,20260102,
KOSPI,00113359,교보증권,030610,증권발행실적보고서,20260102000092,교보증권,20260102,
KOSPI,01267170,SK케미칼,285130,임원ㆍ주요주주특정증권등소유상황보고서,20260102000103,정지효,20260102,
KOSPI,01267170,SK케미칼,285130,임원ㆍ주요주주특정증권등소유상황보고서,20260102000105,정상민,20260102,
KOSPI,01267170,SK케미칼,285130,임원ㆍ주요주주특정증권등소유상황보고서,20260102000107,고정화,20260102,
KOSPI,00165583,E1,017940,계열금융회사를거래상대방으로한단기금융상품거래의분기별공시,20260102000114,E1,20260102,공
KOSPI,00203582,한솔홈데코,025750,임원ㆍ주요주주특정증권등소유상황보고서,20260102000115,박병석,20260102,
KOSPI,00111722,미래에셋증권,006800,증권발행실적보고서,20260102000121,미래에셋증권,20260102,
KOSPI,00142883,우신시스템,017370,주식등의대량보유상황보고서(일반),20260102000125,허우영,20260102,
KOSPI,00296290,키움증권,039490,일괄신고추가서류(기타파생결합사채),20260102000131,키움증권,20260102,
KOSPI,00296290,키움증권,039490,일괄신고추가서류(파생결합증권-주가연계증권),20260102000132,키움증권,20260102,
KOSPI,00855163,미원화학,134380,임원ㆍ주요주주특정증권등소유상황보고서,20260102000133,박준원,20260102,
KOSPI,00296290,키움증권,039490,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000134,키움증권,20260102,
KOSPI,00120182,NH투자증권,005940,일괄신고추가서류(파생결합증권-주가연계증권),20260102000135,NH투자증권,20260102,
KOSPI,00152686,코리아써키트,007810,주식등의대량보유상황보고서(약식),20260102000136,국민연금공단,20260102,
KOSPI,00144164,SK가스,018670,주식등의대량보유상황보고서(약식),20260102000138,국민연금공단,20260102,
KOSPI,00209780,케이씨,029460,주식등의대량보유상황보고서(약식),20260102000139,국민연금공단,20260102,
KOSPI,00102432,계룡건설산업,013580,임원ㆍ주요주주특정증권등소유상황보고서,20260102000149,김대호,20260102,
KOSPI,00480455,STX엔진,077970,주식등의대량보유상황보고서(약식),20260102000150,국민연금공단,20260102,
KOSPI,00102432,계룡건설산업,013580,임원ㆍ주요주주특정증권등소유상황보고서,20260102000152,전해광,20260102,
KOSPI,00102432,계룡건설산업,013580,임원ㆍ주요주주특정증권등소유상황보고서,20260102000154,정일형,20260102,정
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20260102000157,DB증권,20260102,
KOSPI,01032413,해성디에스,195870,주식등의대량보유상황보고서(약식),20260102000158,국민연금공단,20260102,
KOSPI,01059605,디와이파워,210540,주식등의대량보유상황보고서(약식),20260102000159,국민연금공단,20260102,
KOSPI,00115694,DB증권,016610,투자설명서(일괄신고),20260102000162,DB증권,20260102,
KOSPI,00102432,계룡건설산업,013580,[기재정정]임원ㆍ주요주주특정증권등소유상황보고서,20260102000163,정일형,20260102,
KOSPI,00102432,계룡건설산업,013580,임원ㆍ주요주주특정증권등소유상황보고서,20260102000169,홍석중,20260102,
