corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00111722,미래에셋증권,006800,증권발행실적보고서,20191231000542,미래에셋증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(기타파생결합증권),20200102000002,삼성증권,20200102,
KOSPI,00137997,현대차증권,001500,일괄신고추가서류(파생결합증권-주가연계증권),20200102000003,현대차증권,20200102,정
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20200102000004,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000005,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(기타파생결합사채),20200102000006,삼성증권,20200102,
KOSPI,00137997,현대차증권,001500,투자설명서(일괄신고),20200102000008,현대차증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000011,삼성증권,20200102,
KOSPI,00137997,현대차증권,001500,일괄신고추가서류(파생결합증권-주가연계증권),20200102000019,현대차증권,20200102,정
KOSPI,00137997,현대차증권,001500,[기재정정]일괄신고추가서류(파생결합증권-주가연계증권),20200102000020,현대차증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000021,삼성증권,20200102,
KOSPI,00126380,삼성전자,005930,임원ㆍ주요주주특정증권등소유상황보고서,20200102000022,이태협,20200102,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(기타파생결합사채),20200102000024,교보증권,20200102,
KOSPI,00110893,대신증권,003540,일괄신고추가서류(파생결합증권-주가연계증권),20200102000027,대신증권,20200102,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20200102000028,교보증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000030,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000031,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000035,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000036,삼성증권,20200102,
KOSPI,00176914,다우기술,023590,주식등의대량보유상황보고서(약식),20200102000040,"InternationalValueAdvisers,LLC",20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000041,삼성증권,20200102,
KOSPI,00166227,화승인더스트리,006060,합병등종료보고서(합병),20200102000042,화승인더스트리,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000043,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000044,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000046,삼성증권,20200102,
KOSPI,00508344,SK디앤디,210980,임원ㆍ주요주주특정증권등소유상황보고서,20200102000047,정대복,20200102,정
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20200102000049,미래에셋증권,20200102,
KOSPI,00120182,NH투자증권,005940,[첨부추가]일괄신고추가서류(파생결합증권-주가연계증권),20200102000051,NH투자증권,20200102,
KOSDAQ,01234507,매일유업,267980,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20200102000052,매일유업,20200102,
KOSPI,00296290,키움증권,039490,일괄신고추가서류(파생결합증권-주가연계증권),20200102000053,키움증권,20200102,
KOSPI,00111111,대양금속,009190,주식등의대량보유상황보고서(약식),20200102000054,지엔씨파트너스,20200102,정
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000055,삼성증권,20200102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(기타파생결합사채),20200102000056,미래에셋증권,20200102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20200102000057,미래에셋증권,20200102,
KOSPI,00137997,현대차증권,001500,일괄신고추가서류(파생결합증권-주가연계증권),20200102000058,현대차증권,20200102,정
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20200102000061,미래에셋증권,20200102,
KOSPI,00110893,대신증권,003540,투자설명서(일괄신고),20200102000062,대신증권,20200102,
KOSDAQ,01022902,애드바이오텍,179530,주식등의대량보유상황보고서(약식),20200102000063,SBI인베스트먼트,20200102,
KOSPI,00296290,키움증권,039490,투자설명서(일괄신고),20200102000065,키움증권,20200102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20200102000066,삼성증권,20200102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합증권-주가연계증권),20200102000067,삼성증권,20200102,
KOSPI,00120182,NH투자증권,005940,투자설명서(일괄신고),20200102000068,NH투자증권,20200102,
