corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00877059,삼성바이오로직스,207940,임원ㆍ주요주주특정증권등소유상황보고서,20221230000602,김태한,20230102,
KOSPI,00120182,NH투자증권,005940,증권발행실적보고서,20221230000606,NH투자증권,20230102,
KOSPI,00117230,TYM,002900,주식등의대량보유상황보고서(일반),20230102000017,김희용,20230102,
KOSPI,00117230,TYM,002900,임원ㆍ주요주주특정증권등소유상황보고서,20230102000020,김희용,20230102,
KOSPI,00117230,TYM,002900,임원ㆍ주요주주특정증권등소유상황보고서,20230102000025,김태식,20230102,
KOSPI,00117230,TYM,002900,임원ㆍ주요주주특정증권등소유상황보고서,20230102000027,김소원,20230102,
KOSPI,00117230,TYM,002900,임원ㆍ주요주주특정증권등소유상황보고서,20230102000029,김식,20230102,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20230102000048,미래에셋증권,20230102,정
KOSPI,00113359,교보증권,030610,증권발행실적보고서,20230102000052,교보증권,20230102,
KOSPI,00107987,남해화학,025860,특수관계인으로부터자금차입,20230102000056,남해화학,20230102,공
KOSPI,00372873,KTis,058860,주요사항보고서(자기주식취득신탁계약해지결정),20230102000060,KTis,20230102,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20230102000061,삼성증권,20230102,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20230102000063,삼성증권,20230102,
KOSPI,00105873,LG디스플레이,034220,임원ㆍ주요주주특정증권등소유상황보고서,20230102000074,오준탁,20230102,
KOSPI,00157991,한국석유공업,004090,자기주식취득결과보고서,20230102000098,한국석유공업,20230102,
KOSPI,00111722,미래에셋증권,006800,[기재정정]일괄신고추가서류(파생결합증권-주가연계증권),20230102000104,미래에셋증권,20230102,
KOSPI,00161860,한성기업,003680,주식등의대량보유상황보고서(일반),20230102000106,임우근,20230102,
KOSPI,01310269,IPARK현대산업개발,294870,임원ㆍ주요주주특정증권등소유상황보고서,20230102000107,이광희,20230102,
KOSPI,00136721,신영증권,001720,[기재정정]일괄신고추가서류(파생결합증권-주가연계증권),20230102000109,신영증권,20230102,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20230102000110,미래에셋증권,20230102,
KOSPI,00136721,신영증권,001720,[기재정정]투자설명서(일괄신고),20230102000111,신영증권,20230102,
KOSPI,00795135,코오롱인더,120110,임원ㆍ주요주주특정증권등소유상황보고서,20230102000112,홍성택,20230102,
KOSPI,00855163,미원화학,134380,임원ㆍ주요주주특정증권등소유상황보고서,20230102000113,백형진,20230102,
KOSPI,00121932,미원상사,002840,임원ㆍ주요주주특정증권등소유상황보고서,20230102000123,문홍무,20230102,
KOSPI,00121932,미원상사,002840,임원ㆍ주요주주특정증권등소유상황보고서,20230102000125,염영진,20230102,
KOSPI,00121932,미원상사,002840,임원ㆍ주요주주특정증권등소유상황보고서,20230102000126,전명옥,20230102,
KOSPI,00116949,DN오토모티브,007340,주식등의대량보유상황보고서(일반),20230102000151,김상헌,20230102,
KOSPI,00105873,LG디스플레이,034220,임원ㆍ주요주주특정증권등소유상황보고서,20230102000156,황상근,20230102,
KOSPI,01596425,SK스퀘어,402340,임원ㆍ주요주주특정증권등소유상황보고서,20230102000158,오중석,20230102,
KOSPI,01180118,코람코더원리츠,417310,주식등의대량보유상황보고서(약식),20230102000164,미래에셋자산운용,20230102,
KOSPI,00129420,까뮤이앤씨,013700,주요사항보고서(영업정지),20230102000179,까뮤이앤씨,20230102,정
KOSPI,00160302,코스모화학,005420,주식등의대량보유상황보고서(일반),20230102000183,코스모앤컴퍼니,20230102,
KOSPI,00152880,코오롱글로벌,003070,증권발행실적보고서(합병등),20230102000198,코오롱글로벌,20230102,
KOSPI,00106395,금호전기,001210,임원ㆍ주요주주특정증권등소유상황보고서,20230102000204,정규용,20230102,
KOSPI,00872984,이마트,139480,증권신고서(채무증권),20230102000209,이마트,20230102,정
KOSPI,00115977,아이에스동서,010780,신탁계약에의한취득상황보고서,20230102000211,아이에스동서,20230102,
KOSPI,00105873,LG디스플레이,034220,임원ㆍ주요주주특정증권등소유상황보고서,20230102000220,김동희,20230102,
KOSPI,00162461,한화솔루션,009830,[기재정정]증권신고서(분할),20230102000228,한화솔루션,20230102,정
KOSPI,00106395,금호전기,001210,임원ㆍ주요주주특정증권등소유상황보고서,20230102000229,정헌욱,20230102,
KOSPI,00190321,케이티,030200,증권신고서(채무증권),20230102000232,케이티,20230102,정
KOSPI,00114552,도화엔지니어링,002150,임원ㆍ주요주주특정증권등소유상황보고서,20230102000238,김주현,20230102,
KOSPI,00860332,메리츠금융지주,138040,[기재정정]증권신고서(주식의포괄적교환ㆍ이전),20230102000239,메리츠금융지주,20230102,
KOSPI,00114552,도화엔지니어링,002150,임원ㆍ주요주주특정증권등소유상황보고서,20230102000241,노진명,20230102,
KOSPI,00163512,한진,002320,임원ㆍ주요주주특정증권등소유상황보고서,20230102000242,노삼석,20230102,
KOSPI,00162461,한화솔루션,009830,[기재정정]증권신고서(지분증권),20230102000246,한화솔루션,20230102,정
KOSPI,00163512,한진,002320,임원ㆍ주요주주특정증권등소유상황보고서,20230102000247,윤여노,20230102,
KOSPI,00860332,메리츠금융지주,138040,[기재정정]투자설명서,20230102000253,메리츠금융지주,20230102,
KOSPI,00162461,한화솔루션,009830,[기재정정]투자설명서,20230102000257,한화솔루션,20230102,정
KOSPI,00163512,한진,002320,임원ㆍ주요주주특정증권등소유상황보고서,20230102000259,김기업,20230102,
