corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSPI,00126089,DH오토넥스,000300,임원ㆍ주요주주특정증권등소유상황보고서,20220103000037,남우준,20220103,
KOSPI,00104856,삼성증권,016360,임원ㆍ주요주주특정증권등소유상황보고서,20220103000045,삼성생명,20220103,
KOSPI,00126292,삼성카드,029780,임원ㆍ주요주주특정증권등소유상황보고서,20220103000047,삼성생명,20220103,
KOSPI,00139214,삼성화재해상보험,000810,임원ㆍ주요주주특정증권등소유상황보고서,20220103000049,삼성생명,20220103,
KOSPI,00148610,한화투자증권,003530,증권발행실적보고서,20220103000054,한화투자증권,20220103,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20220103000056,미래에셋증권,20220103,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20220103000057,DB증권,20220103,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합증권-주가연계증권),20220103000060,DB증권,20220103,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20220103000066,미래에셋증권,20220103,
KOSPI,00133812,세방,004360,자기주식처분결과보고서,20220103000069,세방,20220103,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20220103000073,미래에셋증권,20220103,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20220103000074,미래에셋증권,20220103,
KOSPI,00115694,DB증권,016610,투자설명서(일괄신고),20220103000075,DB증권,20220103,
KOSPI,00450010,씨티알모빌리티,308170,합병등종료보고서(분할),20220103000078,씨티알모빌리티,20220103,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20220103000082,미래에셋증권,20220103,
KOSPI,00198697,일진디스플,020760,투자설명서,20220103000083,일진디스플,20220103,정
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20220103000086,삼성증권,20220103,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20220103000088,미래에셋증권,20220103,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20220103000089,DB증권,20220103,
