date,ticker,p,rank,train_cutoff
2026-09-18,491000,0.07770027,1,2025-11-27
2026-09-18,019210,0.06184549,2,2025-11-27
2026-09-18,310210,0.05625208,3,2025-11-27
2026-09-18,145020,0.05302403,4,2025-11-27
2026-09-18,004170,0.05289437,5,2025-11-27
2026-09-18,174900,0.04623447,6,2025-11-27
2026-09-18,281740,0.04607995,7,2025-11-27
2026-09-18,456160,0.04477292,8,2025-11-27
2026-09-18,476830,0.04432034,9,2025-11-27
2026-09-18,041830,0.04411601,10,2025-11-27
2026-09-18,032350,0.04215114,11,2025-11-27
2026-09-18,001740,0.04187636,12,2025-11-27
2026-09-18,005950,0.04156008,13,2025-11-27
2026-09-18,290650,0.04131385,14,2025-11-27
2026-09-18,017800,0.04130015,15,2025-11-27
2026-09-18,028300,0.04071857,16,2025-11-27
2026-09-18,475830,0.03944477,17,2025-11-27
2026-09-18,012330,0.03789777,18,2025-11-27
2026-09-18,010060,0.03739390,19,2025-11-27
2026-09-18,006800,0.03658410,20,2025-11-27
2026-09-18,035900,0.03619545,21,2025-11-27
2026-09-18,181710,0.03312995,22,2025-11-27
2026-09-18,083450,0.03256824,23,2025-11-27
2026-09-18,033160,0.03180915,24,2025-11-27
2026-09-18,111770,0.03167673,25,2025-11-27
2026-09-18,011070,0.03164557,26,2025-11-27
2026-09-18,213420,0.03104438,27,2025-11-27
2026-09-18,032830,0.03051194,28,2025-11-27
2026-09-18,036460,0.03049109,29,2025-11-27
2026-09-18,0126Z0,0.03045336,30,2025-11-27
2026-09-18,003530,0.03018691,31,2025-11-27
2026-09-18,077970,0.02978245,32,2025-11-27
2026-09-18,440110,0.02874162,33,2025-11-27
2026-09-18,064400,0.02838720,34,2025-11-27
2026-09-18,069960,0.02820505,35,2025-11-27
2026-09-18,137400,0.02806837,36,2025-11-27
2026-09-18,356860,0.02784494,37,2025-11-27
2026-09-18,017960,0.02653756,38,2025-11-27
2026-09-18,011210,0.02549236,39,2025-11-27
2026-09-18,214150,0.02533299,40,2025-11-27
2026-09-18,377300,0.02381177,41,2025-11-27
2026-09-18,005930,0.02374598,42,2025-11-27
2026-09-18,298380,0.02362820,43,2025-11-27
2026-09-18,397030,0.02354534,44,2025-11-27
2026-09-18,007390,0.02306733,45,2025-11-27
2026-09-18,196170,0.02281457,46,2025-11-27
2026-09-18,005940,0.02234890,47,2025-11-27
2026-09-18,319660,0.02199935,48,2025-11-27
2026-09-18,005850,0.02194400,49,2025-11-27
2026-09-18,032640,0.02105843,50,2025-11-27
2026-09-18,281820,0.02092052,51,2025-11-27
2026-09-18,029780,0.02084552,52,2025-11-27
2026-09-18,034220,0.02035956,53,2025-11-27
2026-09-18,009830,0.02023231,54,2025-11-27
2026-09-18,006650,0.02012275,55,2025-11-27
2026-09-18,140860,0.01974298,56,2025-11-27
2026-09-18,108320,0.01963886,57,2025-11-27
2026-09-18,011780,0.01943533,58,2025-11-27
2026-09-18,000250,0.01813601,59,2025-11-27
2026-09-18,466100,0.01798982,60,2025-11-27
2026-09-18,101490,0.01784567,61,2025-11-27
2026-09-18,015760,0.01769838,62,2025-11-27
2026-09-18,454910,0.01712796,63,2025-11-27
2026-09-18,357780,0.01696596,64,2025-11-27
2026-09-18,347850,0.01693400,65,2025-11-27
2026-09-18,267250,0.01689089,66,2025-11-27
2026-09-18,131290,0.01685327,67,2025-11-27
2026-09-18,005290,0.01675356,68,2025-11-27
2026-09-18,005380,0.01636912,69,2025-11-27
2026-09-18,030000,0.01629797,70,2025-11-27
2026-09-18,018260,0.01628283,71,2025-11-27
2026-09-18,064260,0.01624062,72,2025-11-27
2026-09-18,271560,0.01612456,73,2025-11-27
2026-09-18,002380,0.01564078,74,2025-11-27
2026-09-18,166090,0.01549798,75,2025-11-27
2026-09-18,009540,0.01506469,76,2025-11-27
2026-09-18,189300,0.01481396,77,2025-11-27
2026-09-18,144960,0.01464944,78,2025-11-27
2026-09-18,095610,0.01447114,79,2025-11-27
2026-09-18,060250,0.01446403,80,2025-11-27
2026-09-18,445680,0.01429394,81,2025-11-27
2026-09-18,122640,0.01357886,82,2025-11-27
2026-09-18,003230,0.01349695,83,2025-11-27
2026-09-18,195940,0.01326420,84,2025-11-27
2026-09-18,003380,0.01297576,85,2025-11-27
2026-09-18,028260,0.01296824,86,2025-11-27
2026-09-18,007070,0.01289180,87,2025-11-27
