date,ticker,name,p,rank,train_cutoff
2026-09-22,019210,와이지-원,0.09671984,1,2025-11-27
2026-09-22,475830,오름테라퓨틱,0.08127337,2,2025-11-27
2026-09-22,491000,리브스메드,0.07452537,3,2025-11-27
2026-09-22,476830,알지노믹스,0.07222506,4,2025-11-27
2026-09-22,004170,신세계,0.06727077,5,2025-11-27
2026-09-22,010060,OCI홀딩스,0.06296900,6,2025-11-27
2026-09-22,281740,레이크머티리얼즈,0.05757168,7,2025-11-27
2026-09-22,089970,브이엠,0.05056708,8,2025-11-27
2026-09-22,032350,롯데관광개발,0.04926719,9,2025-11-27
2026-09-22,001740,SK네트웍스,0.04738533,10,2025-11-27
2026-09-22,069960,현대백화점,0.04579683,11,2025-11-27
2026-09-22,012330,현대모비스,0.04340543,12,2025-11-27
2026-09-22,237690,에스티팜,0.04235739,13,2025-11-27
2026-09-22,028300,HLB,0.04226163,14,2025-11-27
2026-09-22,178320,서진시스템,0.03863224,15,2025-11-27
2026-09-22,145020,휴젤,0.03860689,16,2025-11-27
2026-09-22,290650,엘앤씨바이오,0.03789650,17,2025-11-27
2026-09-22,011070,LG이노텍,0.03751678,18,2025-11-27
2026-09-22,213420,덕산네오룩스,0.03748196,19,2025-11-27
2026-09-22,214150,클래시스,0.03724083,20,2025-11-27
2026-09-22,111770,영원무역,0.03700087,21,2025-11-27
2026-09-22,322000,HD현대에너지솔루션,0.03613695,22,2025-11-27
2026-09-22,137400,피엔티,0.03550036,23,2025-11-27
2026-09-22,077970,STX엔진,0.03502280,24,2025-11-27
2026-09-22,035900,JYP Ent.,0.03429081,25,2025-11-27
2026-09-22,011210,현대위아,0.03316152,26,2025-11-27
2026-09-22,347850,디앤디파마텍,0.03253466,27,2025-11-27
2026-09-22,034230,파라다이스,0.03131687,28,2025-11-27
2026-09-22,087010,펩트론,0.03044949,29,2025-11-27
2026-09-22,017960,한국카본,0.03044183,30,2025-11-27
2026-09-22,015760,한국전력,0.02939556,31,2025-11-27
2026-09-22,036540,SFA반도체,0.02867102,32,2025-11-27
2026-09-22,466100,클로봇,0.02843794,33,2025-11-27
2026-09-22,064260,다날,0.02803795,34,2025-11-27
2026-09-22,298380,에이비엘바이오,0.02793148,35,2025-11-27
2026-09-22,456160,지투지바이오,0.02768713,36,2025-11-27
2026-09-22,036460,한국가스공사,0.02703454,37,2025-11-27
2026-09-22,034220,LG디스플레이,0.02683103,38,2025-11-27
2026-09-22,005950,이수화학,0.02667824,39,2025-11-27
2026-09-22,000250,삼천당제약,0.02666748,40,2025-11-27
2026-09-22,005850,에스엘,0.02641206,41,2025-11-27
2026-09-22,0126Z0,삼성에피스홀딩스,0.02638414,42,2025-11-27
2026-09-22,017800,현대엘리베이터,0.02635045,43,2025-11-27
2026-09-22,195940,HK이노엔,0.02428824,44,2025-11-27
2026-09-22,139480,이마트,0.02409568,45,2025-11-27
2026-09-22,078600,대주전자재료,0.02409468,46,2025-11-27
2026-09-22,018880,한온시스템,0.02354777,47,2025-11-27
2026-09-22,007070,GS리테일,0.02258836,48,2025-11-27
2026-09-22,006650,대한유화,0.02257468,49,2025-11-27
2026-09-22,009830,한화솔루션,0.02252190,50,2025-11-27
2026-09-22,008770,호텔신라,0.02228022,51,2025-11-27
2026-09-22,196170,알테오젠,0.02226712,52,2025-11-27
2026-09-22,090710,휴림로봇,0.02217215,53,2025-11-27
2026-09-22,377300,카카오페이,0.02107417,54,2025-11-27
2026-09-22,007390,네이처셀,0.02098905,55,2025-11-27
2026-09-22,101490,에스앤에스텍,0.02080601,56,2025-11-27
2026-09-22,140860,파크시스템스,0.02063301,57,2025-11-27
2026-09-22,108320,LX세미콘,0.02020940,58,2025-11-27
2026-09-22,006110,삼아알미늄,0.02005127,59,2025-11-27
2026-09-22,011780,금호석유화학,0.01999912,60,2025-11-27
2026-09-22,189300,인텔리안테크,0.01962721,61,2025-11-27
2026-09-22,457190,이수스페셜티케미컬,0.01947018,62,2025-11-27
2026-09-22,166090,하나머티리얼즈,0.01936090,63,2025-11-27
2026-09-22,088980,맥쿼리인프라,0.01927843,64,2025-11-27
2026-09-22,030000,제일기획,0.01923398,65,2025-11-27
2026-09-22,445680,큐리옥스바이오시스템즈,0.01914823,66,2025-11-27
2026-09-22,051600,한전KPS,0.01889278,67,2025-11-27
2026-09-22,006800,미래에셋증권,0.01882379,68,2025-11-27
2026-09-22,005380,현대차,0.01763240,69,2025-11-27
2026-09-22,083450,GST,0.01745512,70,2025-11-27
2026-09-22,458870,씨어스,0.01742433,71,2025-11-27
2026-09-22,183300,코미코,0.01739181,72,2025-11-27
2026-09-22,091580,상신이디피,0.01711567,73,2025-11-27
2026-09-22,181710,NHN,0.01690727,74,2025-11-27
2026-09-22,122870,와이지엔터테인먼트,0.01671729,75,2025-11-27
2026-09-22,029780,삼성카드,0.01667200,76,2025-11-27
2026-09-22,161390,한국타이어앤테크놀로지,0.01626895,77,2025-11-27
2026-09-22,082920,비츠로셀,0.01601854,78,2025-11-27
2026-09-22,139130,iM금융지주,0.01598922,79,2025-11-27
2026-09-22,241560,두산밥캣,0.01586879,80,2025-11-27
2026-09-22,226950,올릭스,0.01574241,81,2025-11-27
2026-09-22,096530,씨젠,0.01565733,82,2025-11-27
2026-09-22,271560,오리온,0.01546141,83,2025-11-27
2026-09-22,086280,현대글로비스,0.01532646,84,2025-11-27
2026-09-22,024110,기업은행,0.01473998,85,2025-11-27
2026-09-22,450080,에코프로머티,0.01439870,86,2025-11-27
2026-09-22,323410,카카오뱅크,0.01435417,87,2025-11-27
2026-09-22,005940,NH투자증권,0.01401113,88,2025-11-27
2026-09-22,241710,코스메카코리아,0.01330410,89,2025-11-27
2026-09-22,003380,하림지주,0.01316623,90,2025-11-27
2026-09-22,078930,GS,0.01287717,91,2025-11-27
2026-09-22,050890,쏠리드,0.01287058,92,2025-11-27
2026-09-22,124500,아이티센글로벌,0.01268370,93,2025-11-27
2026-09-22,004990,롯데지주,0.01265824,94,2025-11-27
2026-09-22,003530,한화투자증권,0.01218061,95,2025-11-27
2026-09-22,033160,엠케이전자,0.01212667,96,2025-11-27
2026-09-22,000270,기아,0.01204549,97,2025-11-27
2026-09-22,023530,롯데쇼핑,0.01188139,98,2025-11-27
2026-09-22,009540,HD한국조선해양,0.01182887,99,2025-11-27
