date,ticker,name,p20,p60,rank20,rank60,train_cutoff20,train_cutoff60
2026-09-22,000100,유한양행,0.031753512818093944,0.039297356547026534,64,46,2025-11-27,2025-10-28
2026-09-22,000120,CJ대한통운,0.04585897839684569,0.0537003800360067,21,19,2025-11-27,2025-10-28
2026-09-22,000150,두산,-0.05129766180957637,-0.027999489156970453,321,281,2025-11-27,2025-10-28
2026-09-22,000210,DL,0.019331965638612045,0.013639373081477332,136,144,2025-11-27,2025-10-28
2026-09-22,000250,삼천당제약,0.02157067492593199,0.03883567978565327,121,49,2025-11-27,2025-10-28
2026-09-22,000270,기아,0.025890309901822183,0.02100648153637175,95,107,2025-11-27,2025-10-28
2026-09-22,000370,한화손해보험,-0.004874439817215295,0.0022079922328413952,236,182,2025-11-27,2025-10-28
2026-09-22,000500,가온전선,-0.09898904985261453,-0.20153176252756938,342,346,2025-11-27,2025-10-28
2026-09-22,000660,SK하이닉스,0.0355746178493736,0.016183932196505196,49,131,2025-11-27,2025-10-28
2026-09-22,000670,영풍,-0.024599910734045483,-0.014103077635129324,282,243,2025-11-27,2025-10-28
2026-09-22,000720,현대건설,-0.026365868609654515,-0.019127643809634748,286,255,2025-11-27,2025-10-28
2026-09-22,000810,삼성화재,0.011204032417573126,-0.02237870075269155,176,261,2025-11-27,2025-10-28
2026-09-22,000880,한화,-0.013179762519106778,-0.0014951657977640288,259,197,2025-11-27,2025-10-28
2026-09-22,000990,DB하이텍,-0.06881239478868026,-0.025604652226210372,330,269,2025-11-27,2025-10-28
2026-09-22,001040,CJ,0.0283203954188801,0.045670571849971774,84,34,2025-11-27,2025-10-28
2026-09-22,001120,LX인터내셔널,0.030929337287912737,0.0334729042240043,68,57,2025-11-27,2025-10-28
2026-09-22,001430,세아베스틸지주,-0.00445709340124546,0.009751661391126048,233,159,2025-11-27,2025-10-28
2026-09-22,001440,대한전선,-0.044372632885910535,-0.03214245564567724,311,291,2025-11-27,2025-10-28
2026-09-22,001450,현대해상,0.006882879563902638,-0.027751657162551648,197,278,2025-11-27,2025-10-28
2026-09-22,001740,SK네트웍스,0.02288037313437082,-0.008021597665102779,111,216,2025-11-27,2025-10-28
2026-09-22,001820,삼화콘덴서,-0.09581983959124915,-0.13306048535215878,341,340,2025-11-27,2025-10-28
2026-09-22,002380,KCC,0.023331204698978668,0.010740412634631756,110,153,2025-11-27,2025-10-28
2026-09-22,003160,디아이,-0.006891622372577308,-0.05972997714763759,242,320,2025-11-27,2025-10-28
2026-09-22,003230,삼양식품,0.019580417256589818,0.018219073506121442,135,125,2025-11-27,2025-10-28
2026-09-22,003380,하림지주,0.022584591791508807,0.013842979480030429,115,142,2025-11-27,2025-10-28
2026-09-22,003490,대한항공,0.018260033229221956,-0.015192614893078391,144,246,2025-11-27,2025-10-28
2026-09-22,003530,한화투자증권,0.015715535961475173,0.023099349854806984,156,95,2025-11-27,2025-10-28
2026-09-22,003550,LG,0.011206218651029335,0.020257622846988274,175,111,2025-11-27,2025-10-28
2026-09-22,003670,포스코퓨처엠,-0.006626752850890135,0.0031704814585998076,241,178,2025-11-27,2025-10-28
2026-09-22,003690,코리안리,0.023439158675574265,0.00013075322854306582,109,190,2025-11-27,2025-10-28
2026-09-22,004020,현대제철,-0.00385074573832403,-0.004574226923574632,229,206,2025-11-27,2025-10-28
2026-09-22,004170,신세계,0.039083297123879174,0.014083396724621814,41,140,2025-11-27,2025-10-28
2026-09-22,004370,농심,0.021465385682125044,0.016549926900845245,125,130,2025-11-27,2025-10-28
2026-09-22,004490,세방전지,-0.005309986310731168,-0.004095249061830605,237,203,2025-11-27,2025-10-28
2026-09-22,004800,효성,-0.005874059614371332,0.01910021998246991,238,118,2025-11-27,2025-10-28
2026-09-22,004990,롯데지주,0.04406136395554956,0.026018719166759414,28,79,2025-11-27,2025-10-28
2026-09-22,005070,코스모신소재,0.01554116574341749,0.02162309699280886,157,103,2025-11-27,2025-10-28
2026-09-22,005090,SGC에너지,0.015537283051351537,-0.03428474807056492,158,294,2025-11-27,2025-10-28
2026-09-22,005180,빙그레,-0.006002944673958856,-0.026713147110956192,239,275,2025-11-27,2025-10-28
2026-09-22,005290,동진쎄미켐,0.031532459463213904,0.030903778426020566,65,62,2025-11-27,2025-10-28
2026-09-22,005380,현대차,0.050715044498639346,0.04370680814822525,9,41,2025-11-27,2025-10-28
2026-09-22,005440,현대지에프홀딩스,-0.0046615792958639365,0.014994658607585363,235,136,2025-11-27,2025-10-28
2026-09-22,005490,POSCO홀딩스,0.033912049870877446,0.022099638908885232,56,98,2025-11-27,2025-10-28
2026-09-22,005690,파미셀,-0.04549220285777411,-0.009093520579641233,313,220,2025-11-27,2025-10-28
2026-09-22,005830,DB손해보험,-0.0002562451782392142,-0.014957666795386616,216,244,2025-11-27,2025-10-28
2026-09-22,005850,에스엘,0.041730913505471826,0.0497276546741429,34,28,2025-11-27,2025-10-28
2026-09-22,005880,대한해운,0.010838571457519503,0.01936046233815724,179,116,2025-11-27,2025-10-28
2026-09-22,005930,삼성전자,0.021034100356969825,0.015907211633424727,128,132,2025-11-27,2025-10-28
2026-09-22,005940,NH투자증권,0.043050839547069716,0.015080210343544839,33,135,2025-11-27,2025-10-28
2026-09-22,006110,삼아알미늄,0.02684820235994256,0.009886506695513152,90,157,2025-11-27,2025-10-28
2026-09-22,006260,LS,-0.019520097735016537,-0.011563959746722387,276,230,2025-11-27,2025-10-28
2026-09-22,006340,대원전선,-0.06775152686787307,-0.046135577708634704,329,309,2025-11-27,2025-10-28
2026-09-22,006360,GS건설,-0.02692391602322021,-0.04034231927524337,287,302,2025-11-27,2025-10-28
2026-09-22,006400,삼성SDI,0.0070480049469343,0.020508764721682143,196,109,2025-11-27,2025-10-28
2026-09-22,006650,대한유화,0.01711653030990978,0.023630567125609597,152,89,2025-11-27,2025-10-28
2026-09-22,006730,서부T&D,0.02559964524803227,0.05429393624589895,97,18,2025-11-27,2025-10-28
2026-09-22,006800,미래에셋증권,0.026523455549564267,0.006906041114928553,91,167,2025-11-27,2025-10-28
2026-09-22,007070,GS리테일,0.024424232331488514,-0.0006449737388714679,106,193,2025-11-27,2025-10-28
2026-09-22,007340,DN오토모티브,0.021304194658371224,0.01287427460239823,126,148,2025-11-27,2025-10-28
2026-09-22,007390,네이처셀,0.03351274685095451,0.03905260912350072,59,48,2025-11-27,2025-10-28
2026-09-22,007660,이수페타시스,-0.03159772429687256,-0.027515853054557563,297,277,2025-11-27,2025-10-28
2026-09-22,007810,코리아써키트,-0.035295625931365086,-0.04419660473934943,304,307,2025-11-27,2025-10-28
2026-09-22,008770,호텔신라,0.038574342163505845,0.04498328973822254,43,38,2025-11-27,2025-10-28
2026-09-22,008930,한미사이언스,0.007231485429444264,-0.01669985043085642,195,250,2025-11-27,2025-10-28
2026-09-22,009150,삼성전기,-0.02746381745885493,-0.03539004902377754,291,296,2025-11-27,2025-10-28
2026-09-22,009420,한올바이오파마,0.03409103589077851,0.02673563897632218,55,75,2025-11-27,2025-10-28
2026-09-22,009540,HD한국조선해양,0.02226325933702386,0.009295444467364057,117,161,2025-11-27,2025-10-28
2026-09-22,009830,한화솔루션,0.014247398596244569,0.036330843944473494,162,53,2025-11-27,2025-10-28
2026-09-22,010060,OCI홀딩스,0.04410552129099468,0.033660728503658775,27,56,2025-11-27,2025-10-28
2026-09-22,010120,LS ELECTRIC,-0.023041121723408713,-0.009900665880471431,279,225,2025-11-27,2025-10-28
2026-09-22,010130,고려아연,0.034510470913193925,0.024768996457102243,52,86,2025-11-27,2025-10-28
2026-09-22,010140,삼성중공업,0.011832568791757826,0.020405725261512433,174,110,2025-11-27,2025-10-28
2026-09-22,010170,대한광통신,-0.11287009476909535,-0.1384854733934337,344,342,2025-11-27,2025-10-28
2026-09-22,010950,S-Oil,-0.024469502305725924,-0.0278604825591779,281,280,2025-11-27,2025-10-28
2026-09-22,011070,LG이노텍,0.030714089039102794,0.044989800355702374,70,37,2025-11-27,2025-10-28
2026-09-22,011170,롯데케미칼,-0.007720875580025532,-0.009516097128242034,244,223,2025-11-27,2025-10-28
2026-09-22,011200,HMM,0.02720902858897935,-0.01004547576803557,88,226,2025-11-27,2025-10-28
2026-09-22,011210,현대위아,0.047651074198076716,0.050671926361676264,15,26,2025-11-27,2025-10-28
2026-09-22,011780,금호석유화학,0.027220022133403143,0.021348428275668366,87,106,2025-11-27,2025-10-28
2026-09-22,011790,SKC,-0.004596449488142104,0.012250073418021114,234,151,2025-11-27,2025-10-28
2026-09-22,012330,현대모비스,0.030464056833661733,0.025110619361547994,73,85,2025-11-27,2025-10-28
2026-09-22,012450,한화에어로스페이스,-0.008102822052012053,0.016836668018745185,245,129,2025-11-27,2025-10-28
