date,ticker,p20,p60,rank20,rank60,train_cutoff20,train_cutoff60
2026-09-21,010130,0.03423151712655617,0.023392361359874762,60,88,2025-11-27,2025-10-28
2026-09-21,010140,0.013015135082719897,0.017143117537029802,165,119,2025-11-27,2025-10-28
2026-09-21,010170,-0.1083448685256073,-0.10315774230693417,346,339,2025-11-27,2025-10-28
2026-09-21,010950,-0.026242535767028338,-0.02458263840009222,292,278,2025-11-27,2025-10-28
2026-09-21,011070,0.06434408089720688,0.08714853379307937,1,1,2025-11-27,2025-10-28
2026-09-21,011170,-0.002841328753092075,-0.005417509118692465,226,213,2025-11-27,2025-10-28
2026-09-21,011200,0.029796059809967548,-0.006870618068348081,80,223,2025-11-27,2025-10-28
2026-09-21,011210,0.042930198605234844,0.040443271283871235,25,39,2025-11-27,2025-10-28
2026-09-21,011780,0.028532447169058242,0.015322618621942357,86,129,2025-11-27,2025-10-28
2026-09-21,011790,0.009623119519169108,0.022344239508207315,178,92,2025-11-27,2025-10-28
2026-09-21,012330,0.0345440679945209,0.027407807593494978,57,72,2025-11-27,2025-10-28
2026-09-21,012450,-0.0019818021315455314,0.006989319464018881,221,165,2025-11-27,2025-10-28
2026-09-21,0126Z0,0.028549981644713406,0.029510614000712795,85,65,2025-11-27,2025-10-28
2026-09-21,012750,0.022153042063902954,0.002687468094956767,120,180,2025-11-27,2025-10-28
2026-09-21,014620,-0.03149805089374159,-0.027098914884871764,298,287,2025-11-27,2025-10-28
2026-09-21,014680,0.01946775417201097,0.016643914422187312,129,121,2025-11-27,2025-10-28
2026-09-21,015760,0.018187611109649136,0.0389148812113521,141,48,2025-11-27,2025-10-28
2026-09-21,016360,0.031259745498504916,0.026147951730674433,73,77,2025-11-27,2025-10-28
2026-09-21,017670,0.047162389283945706,0.0427669007010702,12,34,2025-11-27,2025-10-28
2026-09-21,017800,0.05367372462882683,0.05104669762778207,5,21,2025-11-27,2025-10-28
2026-09-21,017900,-0.09528659244079749,-0.13952982653899937,342,344,2025-11-27,2025-10-28
2026-09-21,017960,0.0368489067881101,0.08198046673458122,48,4,2025-11-27,2025-10-28
2026-09-21,018260,0.01561482117184463,0.0056071364798452,153,169,2025-11-27,2025-10-28
2026-09-21,018880,0.04612570071775047,0.04224654030349779,14,36,2025-11-27,2025-10-28
2026-09-21,020150,-0.06396843772837069,-0.040226231307204346,326,303,2025-11-27,2025-10-28
2026-09-21,021240,0.010603024838521956,-0.015058097939082117,173,244,2025-11-27,2025-10-28
2026-09-21,022100,0.01783398963671967,0.007252421419028505,144,163,2025-11-27,2025-10-28
2026-09-21,023160,-0.024137000489762726,-0.0182026431543465,283,261,2025-11-27,2025-10-28
2026-09-21,023530,0.014909176850096066,0.00669641303810793,158,167,2025-11-27,2025-10-28
2026-09-21,024110,0.03589882491082386,0.02646502135314904,54,76,2025-11-27,2025-10-28
2026-09-21,028050,0.006078775679950238,-0.020753338089451363,188,270,2025-11-27,2025-10-28
2026-09-21,028260,0.020060314911272394,0.004510691847407445,124,173,2025-11-27,2025-10-28
2026-09-21,028300,-0.009952059867651276,-0.021011466597492066,249,272,2025-11-27,2025-10-28
2026-09-21,028670,0.002303134889878662,-0.024242495670289774,205,276,2025-11-27,2025-10-28
2026-09-21,029780,0.03903963329364359,0.045418391529197966,41,27,2025-11-27,2025-10-28
2026-09-21,030000,0.04391197436398524,0.0408296677273321,22,37,2025-11-27,2025-10-28
2026-09-21,030200,0.02275492010725507,-0.0017134906513857277,117,198,2025-11-27,2025-10-28
2026-09-21,030530,-0.07336055031433666,-0.11164308541145333,330,340,2025-11-27,2025-10-28
2026-09-21,031980,-0.013392387659026063,-0.060176581033641,254,325,2025-11-27,2025-10-28
2026-09-21,032350,0.041646471734389255,0.07409018297284069,29,5,2025-11-27,2025-10-28
2026-09-21,032500,-0.018453867260560832,-0.006207780418387061,268,220,2025-11-27,2025-10-28
2026-09-21,032640,0.02000629087476203,0.003562109463781841,127,175,2025-11-27,2025-10-28
2026-09-21,032820,-0.002154138373391555,-0.055293154310709136,223,322,2025-11-27,2025-10-28
2026-09-21,032830,0.01855689510941016,-4.1277661563594526e-05,137,192,2025-11-27,2025-10-28
2026-09-21,033100,0.010916006062864109,0.028454700946584238,170,70,2025-11-27,2025-10-28
2026-09-21,033640,-0.05043820274002792,-0.030462608363494053,321,297,2025-11-27,2025-10-28
2026-09-21,033780,0.040339773768877395,-0.0004546729414269324,36,194,2025-11-27,2025-10-28
2026-09-21,033790,-0.041624665018085566,-0.06585071989854306,312,327,2025-11-27,2025-10-28
2026-09-21,034020,-0.001691201971275203,0.01933298354807556,220,105,2025-11-27,2025-10-28
2026-09-21,034220,0.042023333750495134,0.05093949790721462,27,22,2025-11-27,2025-10-28
2026-09-21,034230,0.028610246455797343,0.05841900059263201,84,13,2025-11-27,2025-10-28
2026-09-21,034730,0.017922707972513503,0.0002541732306310518,142,191,2025-11-27,2025-10-28
2026-09-21,035250,0.02953147524122794,0.03018477410696399,81,63,2025-11-27,2025-10-28
2026-09-21,035420,0.04010272340680077,0.026134687496412883,37,78,2025-11-27,2025-10-28
2026-09-21,035720,0.041518690583268104,0.028996184553454193,31,67,2025-11-27,2025-10-28
2026-09-21,035760,0.005469207805151909,0.01914101634254049,191,108,2025-11-27,2025-10-28
2026-09-21,035900,0.05521763708404587,0.05305424555908841,4,19,2025-11-27,2025-10-28
2026-09-21,036460,0.04103345080691831,-0.004736442197504854,34,210,2025-11-27,2025-10-28
2026-09-21,036540,0.002093309429393451,-0.05448177384287893,207,320,2025-11-27,2025-10-28
