date,ticker,name,p20,p60,rank20,rank60,train_cutoff20,train_cutoff60
2026-09-23,018260,삼성에스디에스,0.011537112515258423,0.009436273471837607,161,158,2025-11-27,2025-10-28
2026-09-23,018880,한온시스템,0.04647327146046032,0.05315203315432157,23,22,2025-11-27,2025-10-28
2026-09-23,020150,롯데에너지머티리얼즈,-0.05820495471741406,-0.05268673850567967,324,311,2025-11-27,2025-10-28
2026-09-23,021240,코웨이,0.0023423796561184533,-0.020074286507283903,199,257,2025-11-27,2025-10-28
2026-09-23,022100,포스코DX,0.022184242899319407,0.00890699484897783,109,161,2025-11-27,2025-10-28
2026-09-23,023160,태광,0.004198967051626256,0.014241412161060247,190,134,2025-11-27,2025-10-28
2026-09-23,023530,롯데쇼핑,0.020433795396528103,0.005841719274742542,122,178,2025-11-27,2025-10-28
2026-09-23,024110,기업은행,0.0302099500493464,0.01817317454831425,76,110,2025-11-27,2025-10-28
2026-09-23,028050,삼성E&A,0.003582351170072155,0.0011591420229375934,193,195,2025-11-27,2025-10-28
2026-09-23,028260,삼성물산,0.024504392750362453,0.00393063577938297,96,184,2025-11-27,2025-10-28
2026-09-23,028300,HLB,-0.00016007295228086306,0.022112799694004783,215,90,2025-11-27,2025-10-28
2026-09-23,028670,팬오션,-0.009580145639689338,-0.024873107754143097,247,274,2025-11-27,2025-10-28
2026-09-23,029780,삼성카드,0.048081916750591196,0.048160129701119214,19,27,2025-11-27,2025-10-28
2026-09-23,030000,제일기획,0.0531327531402783,0.045583082218505745,6,34,2025-11-27,2025-10-28
2026-09-23,030200,KT,0.030480469072398292,-0.0021367874965088625,74,205,2025-11-27,2025-10-28
2026-09-23,030530,원익홀딩스,-0.08170771308681618,-0.1000629637101806,336,339,2025-11-27,2025-10-28
2026-09-23,031330,에스에이엠티,0.004023370019425654,0.008192109906960666,192,165,2025-11-27,2025-10-28
2026-09-23,031980,피에스케이홀딩스,-0.045923237847529885,-0.05386314839955745,312,314,2025-11-27,2025-10-28
2026-09-23,032350,롯데관광개발,0.03797213983945603,0.067313337859751,45,7,2025-11-27,2025-10-28
2026-09-23,032500,케이엠더블유,-0.00087897657896263,-0.004571653272747183,218,211,2025-11-27,2025-10-28
2026-09-23,032640,LG유플러스,0.032872394836389915,0.0023016765158939117,63,192,2025-11-27,2025-10-28
2026-09-23,032820,우리기술,-0.005748452981752766,-0.060696686030807925,237,324,2025-11-27,2025-10-28
2026-09-23,032830,삼성생명,0.025566276982585314,0.01008294188212292,93,154,2025-11-27,2025-10-28
2026-09-23,033100,제룡전기,0.0031663360817987094,0.027412122187944258,196,69,2025-11-27,2025-10-28
2026-09-23,033640,네패스,-0.03829677496561731,-0.04355485520231304,302,304,2025-11-27,2025-10-28
2026-09-23,033780,KT&G,0.036498181474102935,-0.0049722439198831994,52,214,2025-11-27,2025-10-28
2026-09-23,033790,피노,-0.03473976108956916,-0.07881119119532942,296,333,2025-11-27,2025-10-28
2026-09-23,034020,두산에너빌리티,0.00954689801376546,0.027876954314140955,166,67,2025-11-27,2025-10-28
2026-09-23,034220,LG디스플레이,0.04488437090789569,0.058789987000568825,29,17,2025-11-27,2025-10-28
2026-09-23,034230,파라다이스,0.030503044681995207,0.06995712919907222,73,4,2025-11-27,2025-10-28
2026-09-23,034730,SK,0.010232649040477921,0.0003227780495560995,163,198,2025-11-27,2025-10-28
2026-09-23,035250,강원랜드,0.027841273091748362,0.02966451180648213,85,63,2025-11-27,2025-10-28
2026-09-23,035420,NAVER,0.03942804169169396,0.02237846164600908,40,87,2025-11-27,2025-10-28
2026-09-23,035720,카카오,0.04033114704770633,0.017353248318084654,39,117,2025-11-27,2025-10-28
2026-09-23,035760,CJ ENM,0.00048683902818248063,0.021981844382720918,213,93,2025-11-27,2025-10-28
2026-09-23,035900,JYP Ent.,0.0543186998781401,0.06440993520438522,5,9,2025-11-27,2025-10-28
2026-09-23,036460,한국가스공사,0.04631277080597019,0.00832891147585576,24,164,2025-11-27,2025-10-28
2026-09-23,036540,SFA반도체,0.07778899816979322,-0.06869622498160924,1,326,2025-11-27,2025-10-28
2026-09-23,036570,NC,0.030516446398142785,0.017698203098743922,72,113,2025-11-27,2025-10-28
2026-09-23,036810,에프에스티,-0.035226092597259666,-0.018741089123311735,297,253,2025-11-27,2025-10-28
2026-09-23,036930,주성엔지니어링,-0.06962099959402897,-0.08289653851149305,329,335,2025-11-27,2025-10-28
2026-09-23,039030,이오테크닉스,-0.016811236975045208,0.00026398211472828515,264,199,2025-11-27,2025-10-28
2026-09-23,039200,오스코텍,0.012545354498993713,0.020275404385099713,154,98,2025-11-27,2025-10-28
2026-09-23,039490,키움증권,0.023165641014942232,0.02660348663147529,103,70,2025-11-27,2025-10-28
2026-09-23,041510,에스엠,0.021241578589032244,0.030061726372280932,114,62,2025-11-27,2025-10-28
2026-09-23,041830,인바디,0.020563078938383918,-0.0025660465938932547,119,206,2025-11-27,2025-10-28
2026-09-23,042660,한화오션,0.030739202999023305,0.05831522651925661,69,18,2025-11-27,2025-10-28
2026-09-23,042700,한미반도체,-0.04253891130543323,-0.025706018984702636,308,280,2025-11-27,2025-10-28
2026-09-23,043260,성호전자,-0.12056388113089746,-0.12468046052386349,348,344,2025-11-27,2025-10-28
2026-09-23,044490,태웅,-0.05175573041630287,-0.07162630352013574,320,329,2025-11-27,2025-10-28
2026-09-23,047040,대우건설,0.02446796248094586,0.015022115764142247,97,129,2025-11-27,2025-10-28
2026-09-23,047050,포스코인터내셔널,0.006807446367127342,0.023083266747769813,174,84,2025-11-27,2025-10-28
2026-09-23,047810,한국항공우주,0.019442508869227382,0.020047990479588277,125,101,2025-11-27,2025-10-28
2026-09-23,048410,현대바이오,0.01005181936093299,0.007219230202473586,164,170,2025-11-27,2025-10-28
2026-09-23,050890,쏠리드,-0.030641917420446748,0.0034218402210312586,291,186,2025-11-27,2025-10-28
2026-09-23,051600,한전KPS,0.02965059625633765,0.022933639185237366,78,85,2025-11-27,2025-10-28
2026-09-23,051900,LG생활건강,0.005567076832959172,-0.031129078259002043,184,296,2025-11-27,2025-10-28
2026-09-23,051910,LG화학,0.014595137139396617,0.024047629410935332,148,80,2025-11-27,2025-10-28
2026-09-23,052690,한전기술,-0.009859697658716216,-0.018617879294039495,248,251,2025-11-27,2025-10-28
2026-09-23,053800,안랩,0.01793085289930913,0.005876673449700513,137,177,2025-11-27,2025-10-28
2026-09-23,055550,신한지주,0.0307245272789135,-0.015033178046111569,70,241,2025-11-27,2025-10-28
2026-09-23,056190,SFA,0.005850509021674242,-0.021870887015377923,180,263,2025-11-27,2025-10-28
2026-09-23,058470,리노공업,-0.008063666623306032,0.018812973936853546,245,108,2025-11-27,2025-10-28
2026-09-23,058610,에스피지,-0.04632030224034696,-0.0172733894636173,313,248,2025-11-27,2025-10-28
2026-09-23,059090,미코,-0.03161055154211945,-0.05312468873170646,292,312,2025-11-27,2025-10-28
2026-09-23,060370,LS마린솔루션,-0.0149890181120176,-0.011604553790094287,260,227,2025-11-27,2025-10-28
2026-09-23,062040,산일전기,-0.04041906772477243,-0.025930065000427296,305,281,2025-11-27,2025-10-28
2026-09-23,064290,인텍플러스,-0.03555240616117665,-0.07765250695308795,298,332,2025-11-27,2025-10-28
2026-09-23,064350,현대로템,0.03354554918199645,0.03833472321281679,59,42,2025-11-27,2025-10-28
2026-09-23,064400,LG씨엔에스,0.014723819150898423,0.023889179418836344,146,81,2025-11-27,2025-10-28
2026-09-23,064760,티씨케이,-0.022354949828205205,-0.022473531229908566,271,265,2025-11-27,2025-10-28
